"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*NOOTKA LIGHTSTATION","BC"," 49°36'00.000"" N","126°37'00.000"" W","15.8 m","1035614","","WCV"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Precipitation"
">= 0.2 mm","25.3","20.9","24.3","22.0","19.2","16.9","12.6","13.7","15.5","22.6","25.6","25.2","243.8","A"
">= 5 mm","17.2","13.6","14.6","13.0","8.5","7.6","3.9","4.8","6.2","14.1","17.5","16.7","137.6","A"
">= 10 mm","13.7","10.5","11.1","8.9","5.9","5.0","2.5","2.9","4.4","11.2","14.3","13.1","103.3","A"
">= 25 mm","6.6","4.6","3.9","3.3","1.8","1.6","0.77","1.2","1.9","5.2","7.3","5.8","43.9","A"
"Days with Snow Depth"
">= 1 cm","0.59","0.06","0.10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.09","0.25","1.1","D"
">= 5 cm","0.27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.31","D"
">= 10 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","D"
">= 20 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","D"
"Wind"
"Maximum Hourly Speed (km/h)","85.0","85.0","89.0","74.0","64.0","74.0","59.0","79.0","70.0","111.0","104.0","96.0","111.0",""
"Date (yyyy/dd)","1992/31","1999/05","1995/09","1996/05","1987/29","1988/02","2000/27","1991/08","2001/29","1994/25","2001/19","1996/04","1994/25"," "
"Direction of Maximum Hourly Speed","SE","SE","SE","SE","S","S","S","SE","S","S","S","SE","S",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.1","0.0","0.0","0.0","0.0","0.4","C"
"Above 18 °C","0.0","0.0","0.0","0.0","0.5","2.8","7.4","7.2","1.5","0.0","0.0","0.0","19.3","C"
"Above 15 °C","0.0","0.0","0.0","0.2","4.1","12.6","37.2","44.7","18.5","0.7","0.0","0.0","118.0","C"
"Above 10 °C","0.9","0.6","1.8","12.5","56.4","114.2","179.8","193.8","140.1","41.2","4.1","0.4","745.8","C"
