"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PORT HARDY A","BC"," 50°40'49.000"" N","127°21'58.000"" W","21.6 m","1026270","71109","YZT"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.03","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.0","0.09","A"
"Days with Precipitation"
">= 0.2 mm","22.6","18.0","21.1","18.9","16.3","15.7","11.2","11.9","14.5","21.8","23.3","21.6","216.9","A"
">= 5 mm","13.4","8.8","10.3","8.2","5.7","5.6","3.8","4.5","6.5","13.6","14.8","13.5","108.6","A"
">= 10 mm","9.0","5.4","5.7","4.1","2.1","2.3","1.6","2.2","3.6","9.4","10.8","8.8","64.9","A"
">= 25 mm","2.7","1.5","0.90","0.70","0.13","0.33","0.17","0.50","0.77","2.8","3.7","2.8","17.1","A"
"Days with Snow Depth"
">= 1 cm","3.1","1.6","0.41","0.03","0.0","0.0","0.0","0.0","0.0","0.03","0.97","1.8","7.9","A"
">= 5 cm","1.1","0.41","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14","0.44","2.1","A"
">= 10 cm","0.24","0.28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.07","0.11","0.70","A"
">= 20 cm","0.0","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.07","A"
"Wind"
"Speed (km/h)","14.4","12.7","12.2","10.9","10.3","9.5","9.0","7.7","7.1","10.2","13.6","14.4","11.0","A"
"Most Frequent Direction","SE","SE","SE","SE","NW","NW","NW","NW","W","SE","SE","SE","SE","A"
"Maximum Hourly Speed (km/h)","84.0","80.0","76.0","83.0","68.0","56.0","53.0","46.0","58.0","71.0","76.0","74.0","84.0",""
"Date (yyyy/dd)","1975/11","1978/08","1959/20","1980/08","1955/07","1988/02","1973/10","1978/24","1953/29","1975/04","1979/21","1977/09","1975/11"," "
"Direction of Maximum Hourly Speed","E","E","E","E","W","E","S","E","E","E","SE","E","E",""
"Maximum Gust Speed (km/h)","113.0","119.0","111.0","103.0","84.0","77.0","72.0","83.0","78.0","101.0","111.0","113.0","119.0",""
"Date (yyyy/dd)","1975/11","1978/08","1975/21","1960/13","1976/29","1974/26","1973/10","1978/24","1979/29","1975/04","1977/23","1956/09","1978/08"," "
"Direction of Maximum Gust","E","E","E","E","E","E","S","E","SE","E","E","SW","E",""
"Days with Winds >= 52 km/h","1.7","0.7","0.4","0.1","0.0","0.1","0.0","0.0","0.0","0.4","1.4","1.5","6.3","A"
"Days with Winds >= 63 km/h","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.3","0.2","0.9","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Above 18 °C","0.0","0.0","0.0","0.0","0.1","0.2","0.5","0.4","0.0","0.0","0.0","0.0","1.2","A"
"Above 15 °C","0.0","0.0","0.0","0.0","0.7","2.3","9.9","11.2","1.7","0.1","0.0","0.0","25.8","A"
"Above 10 °C","0.2","0.2","0.6","4.5","27.6","72.0","132.2","137.6","68.9","12.9","1.4","0.0","458.3","A"
"Above 5 °C","25.0","21.5","35.5","73.1","156.7","220.3","287.2","292.6","215.0","119.4","41.4","16.3","1504.0","A"
"Above 0 °C","136.1","127.7","171.8","220.2","311.7","370.3","442.2","447.6","364.9","272.2","167.7","119.8","3152.2","A"
"Below 0 °C","4.4","3.4","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.1","3.5","5.7","17.5","A"
"Below 5 °C","48.3","38.3","19.2","2.9","0.1","0.0","0.0","0.0","0.1","2.3","27.2","57.1","195.3","A"
"Below 10 °C","178.5","158.0","139.3","84.3","25.9","1.7","0.0","0.0","4.1","50.8","137.1","195.9","975.7","A"
"Below 15 °C","333.3","298.9","293.6","229.8","154.0","82.0","32.7","28.5","86.8","193.0","285.7","350.9","2369.2","A"
"Below 18 °C","426.3","383.5","386.6","319.8","246.5","169.9","116.3","110.8","175.1","285.9","375.7","443.9","3440.2","A"
"Bright Sunshine"
"Total Hours","51.4","73.9","114.2","143.2","174.7","165.8","201.8","189.2","150.0","95.5","56.3","46.3","1462.4","D"
"Days with measurable","17.5","19.8","24.9","25.7","27.5","25.8","28.3","28.4","26.5","22.8","18.5","17.9","283.5","D"
"% of possible daylight hours","19.5","26.2","31.1","34.6","36.4","33.7","40.7","42.0","39.5","28.7","20.8","18.5","31.0","D"
"Extreme Daily","8.4","10.4","11.7","13.9","14.9","16.0","15.2","14.1","12.5","10.4","8.7","7.3","",""
"Date (yyyy/dd)","1980/28","1991/27","1996/27","1990/28","1986/30","2000/15","1972/01","1991/05","1985/01","2001/03","1976/05","1978/27",""," "
"Humidex"
"Extreme Humidex","14.2","16.8","19.5","22.9","35.3","31.9","30.6","32.8","28.0","25.4","18.8","15.7","",""
"Date (yyyy/dd)","2004/14","1992/26","2004/29","1998/30","1983/29","1955/09","1998/27","1960/09","1988/03","1987/01","1962/02","1980/26",""," "
"Days with Humidex >= 30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","A"
"Days with Humidex >= 35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Humidex >= 40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Wind Chill"
"Extreme Wind Chill","-19.8","-23.5","-15.3","-6.9","-4.3","0.0","0.0","0.0","-0.6","-7.7","-20.8","-22.0","",""
"Date (yyyy/dd)","1972/25","1989/02","1955/03","1966/10","1969/03","1953/01","1953/01","1953/01","1972/25","1984/31","1985/26","1968/29",""," "
"Days with Wind Chill < -20","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","A"
"Days with Wind Chill < -30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
