"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*SMITHERS A","BC"," 54°49'29.000"" N","127°10'58.000"" W","521.8 m","1077500","","YYD"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.07","0.11","0.04","0.29","A"
"Days with Precipitation"
">= 0.2 mm","16.1","11.2","10.1","9.6","11.9","13.5","12.4","12.3","13.8","17.3","16.2","15.4","159.6","A"
">= 5 mm","2.5","1.3","0.90","1.4","2.3","3.4","3.2","2.8","3.5","4.1","3.3","2.3","30.9","A"
">= 10 mm","0.72","0.27","0.23","0.46","0.79","1.3","0.96","1.1","1.1","1.4","1.1","0.79","10.2","A"
">= 25 mm","0.03","0.0","0.0","0.04","0.07","0.21","0.07","0.11","0.14","0.21","0.21","0.11","1.2","A"
"Days with Snow Depth"
">= 1 cm","30.6","27.3","21.2","2.3","0.11","0.0","0.0","0.0","0.0","1.1","15.2","28.5","126.3","A"
">= 5 cm","29.4","25.5","18.9","1.4","0.07","0.0","0.0","0.0","0.0","0.54","10.5","26.0","112.2","A"
">= 10 cm","27.0","23.9","16.6","0.96","0.0","0.0","0.0","0.0","0.0","0.32","6.3","21.2","96.3","A"
">= 20 cm","21.8","21.3","11.6","0.68","0.0","0.0","0.0","0.0","0.0","0.14","3.0","11.7","70.4","A"
"Wind"
"Speed (km/h)","6.7","6.1","6.9","7.1","6.6","6.0","5.2","4.7","4.5","5.7","6.1","6.2","6.0","A"
"Most Frequent Direction","SE","SE","SE","SE","N","N","N","N","SE","SE","SE","SE","SE","A"
"Maximum Hourly Speed (km/h)","74.0","56.0","55.0","61.0","51.0","57.0","50.0","46.0","56.0","58.0","64.0","51.0","74.0",""
"Date (yyyy/dd)","2006/22","1976/08","1955/17","1954/13","1959/27","2000/30","1989/19","1981/15","1968/24","1954/20","1975/02","1970/24","2006/22"," "
"Direction of Maximum Hourly Speed","S","SW","W","W","NW","N","SE","SW","SW","SE","SW","SW","S",""
"Maximum Gust Speed (km/h)","120.0","120.0","107.0","96.0","100.0","74.0","78.0","74.0","81.0","89.0","106.0","111.0","120.0",""
"Date (yyyy/dd)","1991/17","1988/21","1994/12","2008/17","1971/07","1989/17","1977/28","1984/05","1988/29","1993/26","1975/03","1980/11","1988/21"," "
"Direction of Maximum Gust","SW","W","SW","W","SW","SW","NE","S","S","SW","E","SW","W",""
