"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*FORT ST JOHN A","BC"," 56°14'17.000"" N","120°44'25.000"" W","694.9 m","1183000","71943","YXJ"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.0","0.03","0.03","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.09","A"
"Days with Precipitation"
">= 0.2 mm","10.6","8.4","9.0","6.9","8.8","11.1","12.9","10.4","10.4","9.6","11.1","9.5","118.5","A"
">= 5 mm","1.5","0.97","1.6","1.3","2.5","3.9","4.4","3.4","2.7","1.9","1.7","1.2","27.1","A"
">= 10 mm","0.27","0.13","0.10","0.31","1.1","2.0","2.3","1.5","1.2","0.57","0.33","0.17","10.0","A"
">= 25 mm","0.0","0.0","0.03","0.03","0.14","0.43","0.40","0.30","0.27","0.04","0.0","0.0","1.6","A"
"Days with Snow Depth"
">= 1 cm","28.9","27.6","24.6","8.3","1.0","0.0","0.0","0.0","0.37","7.0","22.1","27.1","147.1","A"
">= 5 cm","26.5","24.8","22.1","6.1","0.34","0.0","0.0","0.0","0.17","3.8","16.8","21.9","122.5","A"
">= 10 cm","23.4","20.2","19.5","4.7","0.07","0.0","0.0","0.0","0.10","1.8","12.2","17.9","99.9","A"
">= 20 cm","17.9","15.8","14.9","2.8","0.0","0.0","0.0","0.0","0.03","0.36","6.0","13.4","71.2","A"
"Wind"
"Speed (km/h)","13.3","13.5","14.1","14.4","14.1","13.1","12.2","11.8","13.2","14.8","13.9","13.2","13.5","A"
"Most Frequent Direction","SW","SW","SW","SW","SW","SW","SW","SW","SW","SW","SW","SW","SW","A"
"Maximum Hourly Speed (km/h)","89.0","84.0","68.0","77.0","77.0","64.0","80.0","58.0","64.0","80.0","74.0","97.0","97.0",""
"Date (yyyy/dd)","1963/06","1953/25","1959/17","1961/01","1965/12","1956/06","1955/19","1961/06","1956/23","1962/17","1956/19","1956/25","1956/25"," "
"Direction of Maximum Hourly Speed","SW","W","SW","SW","W","W","SW","W","W","W","SW","SW","SW",""
"Maximum Gust Speed (km/h)","138.0","100.0","93.0","103.0","105.0","87.0","102.0","107.0","92.0","121.0","117.0","117.0","138.0",""
"Date (yyyy/dd)","1963/07","1976/07","2004/07","1961/01","1965/12","1960/01","1997/20","1996/30","1973/08","1966/24","1962/19","1959/05","1963/07"," "
"Direction of Maximum Gust","SW","W","SW","SW","W","SW","SW","S","SW","S","W","S","SW",""
"Days with Winds >= 52 km/h","0.9","0.7","0.5","0.5","0.2","0.1","0.1","0.2","0.3","0.7","0.5","0.6","5.1","A"
"Days with Winds >= 63 km/h","0.3","0.1","0.0","0.0","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.2","1.0","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.2","A"
"Above 18 °C","0.0","0.0","0.0","0.0","0.7","4.2","15.1","12.2","0.9","0.0","0.0","0.0","33.2","A"
"Above 15 °C","0.0","0.0","0.0","0.1","6.1","24.9","56.9","44.7","7.0","0.6","0.0","0.0","140.3","A"
"Above 10 °C","0.0","0.0","0.0","4.5","49.0","126.7","192.5","156.8","53.6","8.4","0.1","0.0","591.5","A"
"Above 5 °C","0.5","0.9","3.0","41.0","158.9","272.9","346.8","306.6","161.3","45.6","2.1","0.8","1340.5","A"
"Above 0 °C","8.8","11.9","36.4","142.8","305.1","422.9","501.7","461.5","303.3","140.4","19.0","10.1","2363.9","A"
"Below 0 °C","406.0","282.6","178.3","22.8","1.8","0.0","0.0","0.0","0.2","31.4","215.4","362.6","1501.2","A"
"Below 5 °C","552.7","412.9","299.8","71.0","10.7","0.0","0.0","0.1","8.3","91.5","348.5","508.3","2304.0","A"
"Below 10 °C","707.2","553.1","451.9","184.5","55.7","3.9","0.8","5.3","50.5","209.4","496.5","662.5","3381.1","A"
"Below 15 °C","862.2","694.3","606.9","330.1","167.9","52.0","20.2","48.2","154.0","356.6","646.4","817.5","4756.0","A"
"Below 18 °C","955.2","779.0","699.9","420.0","255.5","121.3","71.3","108.7","237.9","449.0","736.4","910.5","5744.7","A"
"Bright Sunshine"
"Extreme Daily","8.1","10.5","12.4","15.0","16.1","17.0","16.9","15.6","13.2","10.7","9.1","7.7","",""
"Date (yyyy/dd)","1961/29","1957/28","1961/30","1975/29","1961/31","1994/25","1964/01","1961/04","1988/02","1964/06","1954/02","2000/10",""," "
"Humidex"
"Extreme Humidex","12.7","12.4","17.3","27.4","31.5","34.3","37.4","34.5","32.6","25.4","16.2","11.2","",""
"Date (yyyy/dd)","2003/06","1992/28","1994/30","1977/25","1983/29","1969/17","1960/31","1971/01","1988/04","2008/01","1978/01","1980/15",""," "
"Days with Humidex >= 30","0.0","0.0","0.0","0.0","0.0","0.1","1.6","1.4","0.0","0.0","0.0","0.0","3.1","A"
"Days with Humidex >= 35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Humidex >= 40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Wind Chill"
"Extreme Wind Chill","-59.5","-59.3","-48.7","-37.8","-19.9","-6.2","0.0","-7.8","-18.4","-35.3","-58.3","-53.9","",""
"Date (yyyy/dd)","1969/26","1975/12","1955/03","1954/01","2002/03","1976/01","1953/01","1973/17","1974/30","1984/30","1985/25","1992/30",""," "
"Days with Wind Chill < -20","18.4","14.1","9.8","1.2","0.0","0.0","0.0","0.0","0.0","0.8","9.8","16.3","70.4","A"
"Days with Wind Chill < -30","11.0","6.3","3.2","0.1","0.0","0.0","0.0","0.0","0.0","0.1","3.4","8.8","32.8","A"
"Days with Wind Chill < -40","3.6","1.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","2.1","7.9","A"
"Humidity"
"Average Vapour Pressure (kPa)","0.2","0.3","0.3","0.4","0.6","0.9","1.2","1.1","0.8","0.5","0.3","0.2","0.6","A"
"Average Relative Humidity - 0600LST (%)","72.8","73.1","71.4","69.7","68.8","74.2","79.0","82.6","81.9","77.6","79.0","73.9","75.3","A"
"Average Relative Humidity - 1500LST (%)","68.5","62.9","53.8","42.6","41.1","45.7","49.3","50.6","52.4","57.9","72.3","71.5","55.7","A"
"Pressure"
"Average Station Pressure (kPa)","93.1","93.2","93.1","93.1","93.2","93.1","93.3","93.3","93.2","93.0","92.9","93.0","93.1","A"
"Average Sea Level Pressure (kPa)","101.7","101.8","101.6","101.5","101.4","101.3","101.4","101.5","101.5","101.4","101.4","101.6","101.5","A"
"Visibility (hours with)"
"< 1 km","14.1","7.2","4.9","2.9","3.6","2.8","6.5","12.6","13.6","19.6","26.7","18.8","133.3","C"
"1 to 9 km","82.0","66.4","58.5","27.1","18.7","17.4","19.7","23.8","30.8","47.9","82.9","80.1","555.3","C"
"> 9 km","647.9","604.0","680.5","690.0","721.7","699.8","717.8","707.7","675.6","676.5","610.4","645.0","8076.9","C"
"Cloud Amount (hours with)"
"0 to 2 tenths","194.9","180.4","198.0","188.9","164.9","158.7","174.1","198.6","174.8","178.0","164.6","192.0","2167.9","C"
"3 to 7 tenths","152.8","142.9","174.8","202.2","215.4","230.7","250.4","229.0","186.6","171.0","147.4","162.6","2265.7","C"
"8 to 10 tenths","396.3","354.3","371.2","328.9","363.8","330.7","319.6","316.5","358.6","395.0","408.0","389.4","4332.0","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","May       13","A"
"Average Date of First Fall Frost","September 16","A"
"Average Length of Frost-Free Period","125 Days","A"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Jun 03","May 24","May 22","May 15","May 12","May 09","May 02"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Aug 30","Sep 06","Sep 08","Sep 15","Sep 17","Sep 21","Oct 01"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","91","108","112","118","128","134","141"
