"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PENTICTON A","BC"," 49°27'47.000"" N","119°36'08.000"" W","344.4 m","1126150","71889","YYF"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Precipitation"
">= 0.2 mm","12.6","9.8","9.6","9.2","10.7","10.6","7.8","6.9","7.0","9.5","12.1","13.4","119.2","A"
">= 5 mm","1.2","0.97","1.2","1.5","2.7","2.9","1.8","1.9","1.6","1.6","1.7","1.4","20.5","A"
">= 10 mm","0.27","0.23","0.40","0.60","1.0","1.3","0.73","0.69","0.62","0.37","0.33","0.33","6.9","A"
">= 25 mm","0.0","0.0","0.0","0.03","0.03","0.17","0.10","0.07","0.03","0.0","0.0","0.0","0.43","A"
"Days with Snow Depth"
">= 1 cm","11.1","3.7","0.62","0.03","0.0","0.0","0.0","0.0","0.0","0.04","2.1","10.8","28.4","A"
">= 5 cm","6.1","1.5","0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1","5.2","14.1","A"
">= 10 cm","3.1","0.60","0.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.47","1.7","6.0","A"
">= 20 cm","0.50","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.37","0.87","A"
"Wind"
"Speed (km/h)","14.3","12.1","10.9","9.9","9.2","8.5","8.8","8.5","8.5","10.7","14.6","14.9","10.9","A"
"Most Frequent Direction","S","S","S","N","N","N","N","N","N","N","S","S","N","A"
"Maximum Hourly Speed (km/h)","65.0","72.0","68.0","64.0","68.0","61.0","67.0","74.0","60.0","80.0","80.0","84.0","84.0",""
"Date (yyyy/dd)","1999/29","1957/23","1958/07","1958/17","1955/21","1958/06","2008/10","1995/02","1958/20","1963/21","1962/29","1957/23","1957/23"," "
"Direction of Maximum Hourly Speed","S","S","S","S","SW","S","N","SW","S","S","S","S","S",""
"Maximum Gust Speed (km/h)","85.0","93.0","113.0","121.0","97.0","81.0","109.0","89.0","97.0","101.0","97.0","113.0","121.0",""
"Date (yyyy/dd)","1999/29","1964/18","1975/30","1958/17","1958/27","1987/20","2008/10","2002/16","1964/25","1962/13","1962/29","1958/31","1958/17"," "
"Direction of Maximum Gust","S","N","N","W","S","S","N","N","N","S","S","N","W",""
