"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*MERRY ISLAND LIGHTSTATION","BC"," 49°28'03.000"" N","123°54'45.000"" W","6.1 m","1045100","","WMR"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.08","A"
"Days with Precipitation"
">= 0.2 mm","20.0","15.6","18.0","15.0","13.2","11.0","6.3","6.8","8.7","16.2","20.7","19.8","171.3","A"
">= 5 mm","9.4","6.4","6.7","5.1","4.6","3.9","2.3","2.4","3.3","7.1","11.1","9.0","71.3","A"
">= 10 mm","5.1","3.2","2.8","1.9","1.8","1.8","1.1","1.0","1.7","3.5","6.4","5.0","35.1","A"
">= 25 mm","0.73","0.33","0.16","0.19","0.19","0.08","0.16","0.16","0.16","0.44","0.88","0.56","4.0","A"
"Days with Snow Depth"
">= 1 cm","0.59","0.64","0.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.52","0.33","2.3","D"
">= 5 cm","0.18","0.14","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.22","0.33","0.98","D"
">= 10 cm","0.0","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.17","0.17","0.39","D"
">= 20 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.09","0.0","0.09","D"
"Wind"
"Maximum Hourly Speed (km/h)","97.0","93.0","85.0","89.0","89.0","78.0","69.0","71.0","80.0","89.0","100.0","97.0","100.0",""
"Date (yyyy/dd)","1954/03","1999/05","1971/14","1955/12","1977/25","1996/22","1994/24","1975/07","1956/29","1955/08","1962/29","1957/24","1962/29"," "
"Direction of Maximum Hourly Speed","SE","SE","E","E","E","SE","SE","SE","SE","E","S","SE","S",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Above 18 °C","0.0","0.0","0.0","0.0","0.4","7.5","28.6","25.6","2.0","0.0","0.0","0.0","64.1","C"
"Above 15 °C","0.0","0.0","0.0","0.1","8.2","41.3","101.9","100.4","26.9","0.3","0.0","0.0","279.2","C"
"Above 10 °C","0.1","0.1","0.8","20.1","96.7","178.6","256.2","255.1","156.6","40.4","2.9","0.1","1007.6","C"
"Above 5 °C","38.9","36.7","73.7","142.1","249.4","328.5","411.2","410.1","306.6","181.3","76.5","33.7","2288.6","C"
"Above 0 °C","167.7","161.2","224.5","292.1","404.4","478.5","566.2","565.1","456.6","336.0","218.7","163.0","4033.9","C"
"Below 0 °C","1.2","1.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7","2.8","7.0","C"
"Below 5 °C","27.3","17.8","4.4","0.0","0.0","0.0","0.0","0.0","0.0","0.3","9.5","28.6","87.9","C"
"Below 10 °C","143.6","122.3","86.4","28.0","2.3","0.0","0.0","0.0","0.0","14.5","85.9","150.0","632.9","C"
"Below 15 °C","298.5","263.3","240.6","158.1","68.8","12.8","0.8","0.4","20.3","129.3","233.0","304.9","1730.6","C"
"Below 18 °C","391.5","347.9","333.6","247.9","154.1","69.0","20.4","18.6","85.4","222.0","323.0","397.9","2611.2","C"
"Bright Sunshine"
"Total Hours","54.1","87.0","130.3","180.6","228.3","220.7","282.0","270.8","214.6","117.4","57.4","50.4","1893.6","D"
"Days with measurable","15.9","18.4","22.7","24.6","27.0","26.6","28.5","29.0","27.3","21.8","16.0","15.0","272.6","D"
"% of possible daylight hours","20.1","30.5","35.4","43.9","48.0","45.4","57.5","60.6","56.6","35.0","20.9","19.7","39.5","D"
"Extreme Daily","8.8","10.5","12.0","13.6","15.3","15.5","15.5","14.9","12.8","10.9","9.2","8.0","",""
"Date (yyyy/dd)","1996/31","1996/22","2001/22","1989/28","1997/17","1988/13","1988/18","1994/02","1988/01","2001/06","1999/04","1990/19",""," "
"Humidex"
"Extreme Humidex","15.3","13.3","14.9","19.4","33.3","33.2","34.5","35.3","30.3","22.1","16.3","12.2","",""
"Date (yyyy/dd)","2000/17","1963/06","1994/29","1979/29","1966/07","1969/18","1975/04","1998/12","1974/02","1975/01","1962/19","1963/24",""," "
"Wind Chill"
"Extreme Wind Chill","-14.9","-12.6","-6.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-14.0","-20.7","",""
"Date (yyyy/dd)","1959/09","1956/16","1976/03","1954/01","1954/01","1954/01","1954/01","1954/01","1954/01","1954/01","1955/14","1968/28",""," "


