"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*SHAWNIGAN LAKE","BC"," 48°38'49.010"" N","123°37'35.070"" W","159.0 m","1017230","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Below 10 °C","203.5","166.7","120.9","52.8","10.4","0.3","0.0","0.0","0.6","33.6","134.6","215.6","939.0","C"
"Below 15 °C","358.5","307.6","274.7","186.5","97.4","29.4","4.3","2.3","32.1","156.0","282.1","370.5","2101.3","C"
"Below 18 °C","451.5","392.3","367.7","276.2","182.9","94.4","36.6","31.2","96.9","247.8","372.1","463.5","3013.1","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","April     12","C"
"Average Date of First Fall Frost","November  04","C"
"Average Length of Frost-Free Period","205 Days","C"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","May 10","May 04","May 01","Apr 26","Apr 19","Apr 14","Apr 04"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Oct 03","Oct 15","Oct 19","Oct 27","Nov 01","Nov 07","Nov 14"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","151","164","171","186","195","201","216"
