"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*DUNCAN LAKE DAM","BC"," 50°14'19.200"" N","116°58'17.500"" W","548.6 m","1142574","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.19","0.11","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.19","0.61","A"
"Days with Precipitation"
">= 0.2 mm","18.0","12.9","15.3","14.7","16.2","17.5","13.6","12.6","12.4","15.2","18.7","16.6","183.4","A"
">= 5 mm","6.9","3.8","4.0","3.4","3.6","4.6","3.9","3.3","3.7","4.7","7.1","6.6","55.6","A"
">= 10 mm","3.3","1.1","1.0","1.2","1.3","1.7","1.6","1.5","1.4","1.5","2.9","2.8","21.2","A"
">= 25 mm","0.22","0.22","0.08","0.0","0.19","0.16","0.15","0.19","0.19","0.19","0.38","0.19","2.2","A"
"Wind"
"Maximum Hourly Speed (km/h)","63.0","55.0","58.0","66.0","61.0","53.0","48.0","48.0","53.0","48.0","51.0","56.0","66.0",""
"Date (yyyy/dd)","1982/14","1972/27","1972/05","1983/10","1980/15","1974/20","1995/26","1999/06","1996/15","1976/31","1973/28","1980/11","1983/10"," "
"Direction of Maximum Hourly Speed","SW","S","S","S","W","SW","SW","SW","SW","SW","SW","SW","S",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.2","C"
"Above 18 °C","0.0","0.0","0.0","0.0","1.3","6.2","27.4","20.2","0.4","0.0","0.0","0.0","55.5","C"
"Above 15 °C","0.0","0.0","0.0","0.0","7.9","33.5","87.7","74.8","7.1","0.0","0.0","0.0","210.9","C"
"Above 10 °C","0.0","0.0","0.0","5.8","68.9","151.5","236.3","218.9","77.3","4.5","0.0","0.0","763.2","C"
"Above 5 °C","0.0","0.1","7.7","74.9","205.0","300.4","391.3","373.8","213.9","65.3","7.0","0.1","1639.6","C"
"Above 0 °C","17.2","28.3","96.9","216.7","359.7","450.4","546.3","528.8","363.4","202.9","65.5","17.4","2893.4","C"
"Below 0 °C","112.5","71.0","11.3","0.0","0.0","0.0","0.0","0.0","0.0","1.4","31.4","101.8","329.4","C"
"Below 5 °C","250.4","184.0","77.2","8.2","0.3","0.0","0.0","0.0","0.5","18.8","122.9","239.5","901.7","C"
"Below 10 °C","405.4","325.0","224.4","89.1","19.2","1.1","0.0","0.1","13.9","113.0","265.9","394.4","1851.4","C"
"Below 15 °C","560.4","466.2","379.4","233.4","113.2","33.1","6.4","10.9","93.7","263.5","415.9","549.4","3125.3","C"
"Below 18 °C","653.4","550.9","472.4","323.3","199.6","95.8","39.1","49.4","177.0","356.5","505.9","642.4","4065.6","C"
"Evaporation"
"Lake Evaporation (mm)","","","","","2.9","3.4","3.3","2.9","1.8","","","","",""

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","May       13","D"
"Average Date of First Fall Frost","September 25","D"
"Average Length of Frost-Free Period","134 Days","D"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Jun 03","May 27","May 21","May 16","May 09","May 03","Apr 28"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Sep 10","Sep 16","Sep 18","Sep 24","Oct 02","Oct 03","Oct 10"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","104","115","121","135","140","141","154"
