"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PRINCETON A","BC"," 49°28'04.000"" N","120°30'45.000"" W","701.7 m","1126510","","YDC"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.15","0.15","0.34","A"
"Days with Precipitation"
">= 0.2 mm","13.5","9.2","9.2","9.5","11.3","11.0","8.2","7.1","7.8","10.8","13.4","12.6","123.5","A"
">= 5 mm","2.5","1.0","0.73","0.92","1.6","2.6","1.8","1.5","1.7","1.4","2.7","2.2","20.6","A"
">= 10 mm","1.1","0.22","0.19","0.23","0.58","0.96","1.0","0.69","0.50","0.35","1.0","0.85","7.7","A"
">= 25 mm","0.08","0.04","0.0","0.04","0.04","0.04","0.04","0.04","0.0","0.04","0.12","0.04","0.52","A"
"Days with Snow Depth"
">= 1 cm","31.0","27.0","13.1","0.36","0.04","0.0","0.0","0.0","0.0","0.41","9.4","27.1","108.4","D"
">= 5 cm","30.3","26.3","11.4","0.0","0.0","0.0","0.0","0.0","0.0","0.05","4.2","22.5","94.7","D"
">= 10 cm","27.8","23.7","9.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.9","17.5","81.1","D"
">= 20 cm","20.7","15.5","5.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.74","7.6","50.0","D"
"Wind"
"Maximum Hourly Speed (km/h)","56.0","64.0","46.0","56.0","64.0","56.0","56.0","53.0","80.0","59.0","56.0","78.0","80.0",""
"Date (yyyy/dd)","1989/30","1961/21","1982/09","2002/22","1976/17","1976/06","1977/17","1975/29","1996/04","1990/10","1989/07","1979/14","1996/04"," "
"Direction of Maximum Hourly Speed","SW","W","SW","SW","W","SE","NW","NW","S","N","SW","N","S",""
