"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*VICTORIA INT'L A","BC"," 48°38'50.010"" N","123°25'33.000"" W","19.5 m","1018620","71799","YYJ"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.07","0.10","A"
"Days with Precipitation"
">= 0.2 mm","18.6","14.9","16.7","13.3","12.0","9.5","5.3","5.2","7.6","14.0","19.2","18.6","155.1","A"
">= 5 mm","8.6","5.7","5.1","2.9","2.6","2.3","1.3","1.5","2.1","5.5","9.3","8.9","55.7","A"
">= 10 mm","5.0","2.8","2.1","1.1","0.66","0.67","0.37","0.73","0.97","2.5","5.4","4.5","26.8","A"
">= 25 mm","1.0","0.57","0.37","0.10","0.0","0.0","0.03","0.17","0.07","0.48","1.2","1.1","5.1","A"
"Days with Snow Depth"
">= 1 cm","3.2","1.1","0.40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.6","8.4","A"
">= 5 cm","1.7","0.57","0.20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.67","1.5","4.6","A"
">= 10 cm","1.1","0.13","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.40","1.1","2.8","A"
">= 20 cm","0.37","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.13","0.47","1.0","A"
"Wind"
"Speed (km/h)","9.4","9.5","9.9","9.9","9.3","9.1","8.4","7.8","7.2","8.2","9.8","10.4","9.1","A"
"Most Frequent Direction","W","W","W","W","W","W","SE","SE","W","W","W","W","W","A"
"Maximum Hourly Speed (km/h)","61.0","66.0","56.0","58.0","51.0","51.0","45.0","45.0","54.0","77.0","64.0","74.0","77.0",""
"Date (yyyy/dd)","1953/09","1972/27","1955/10","1958/17","1965/16","1957/28","1959/12","1955/01","1988/06","1962/12","1962/29","1957/19","1962/12"," "
"Direction of Maximum Hourly Speed","S","SW","W","SW","W","W","W","W","SW","E","E","W","E",""
"Maximum Gust Speed (km/h)","98.0","109.0","89.0","83.0","72.0","70.0","66.0","55.0","85.0","91.0","93.0","109.0","109.0",""
"Date (yyyy/dd)","1971/16","1972/27","1999/03","2010/02","1975/03","2004/18","1973/10","1964/25","1988/06","1993/23","1973/19","1967/05","1967/05"," "
"Direction of Maximum Gust","W","SW","SE","SE","E","E","W","SW","SW","SW","SE","SW","SW",""
"Days with Winds >= 52 km/h","0.4","0.5","0.5","0.1","0.0","0.1","0.0","0.0","0.1","0.3","0.5","0.7","3.2","A"
"Days with Winds >= 63 km/h","0.1","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.6","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.4","A"
"Above 18 °C","0.0","0.0","0.0","0.0","0.6","4.7","13.2","10.8","1.4","0.0","0.0","0.0","30.7","A"
"Above 15 °C","0.0","0.0","0.0","0.2","6.1","24.2","62.8","59.5","16.2","0.3","0.0","0.0","169.3","A"
"Above 10 °C","0.6","0.5","1.7","15.7","73.7","145.7","213.0","209.5","125.1","30.5","4.1","0.4","820.6","A"
"Above 5 °C","31.6","31.2","63.7","120.3","220.8","295.5","368.0","364.5","274.4","154.9","60.3","23.5","2008.7","A"
"Above 0 °C","145.7","144.8","209.9","269.7","375.8","445.5","523.0","519.5","424.4","308.9","193.0","131.7","3692.0","A"
"Below 0 °C","4.4","2.9","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.7","6.7","18.0","A"
"Below 5 °C","45.2","30.5","9.2","0.6","0.0","0.0","0.0","0.0","0.0","1.0","21.0","53.4","160.9","A"
"Below 10 °C","169.3","141.0","102.2","46.0","7.9","0.2","0.0","0.0","0.8","31.6","114.8","185.3","799.0","A"
"Below 15 °C","323.6","281.7","255.5","180.5","95.3","28.7","4.8","5.0","41.9","156.4","260.7","340.0","1974.0","A"
"Below 18 °C","416.6","366.4","348.5","270.3","182.8","99.2","48.2","49.3","117.0","249.1","350.7","433.0","2931.1","A"
"Bright Sunshine"
"Total Hours","70.8","95.5","145.3","191.3","241.5","251.7","318.1","297.5","228.6","136.9","72.8","58.9","2108.8","D"
"Days with measurable","20.3","21.9","26.7","27.1","29.1","29.1","30.5","30.1","28.8","26.0","20.1","18.5","308.0","D"
"% of possible daylight hours","26.0","33.3","39.5","46.7","51.2","52.2","65.4","66.9","60.3","40.7","26.2","22.7","44.3","D"
"Extreme Daily","8.8","10.5","11.8","13.8","15.0","15.8","15.7","14.7","12.9","10.8","9.3","7.9","",""
"Date (yyyy/dd)","1994/30","1970/28","1970/30","1973/29","1972/30","1970/22","1972/01","1987/03","1985/02","2001/04","1995/01","1978/05",""," "
"Humidex"
"Extreme Humidex","16.4","17.1","20.9","26.1","33.6","34.3","39.6","36.8","34.7","27.0","20.0","17.7","",""
"Date (yyyy/dd)","2005/18","1991/26","1994/28","1998/30","1983/28","2003/06","2009/29","1960/09","1955/04","1987/01","2006/06","1958/02",""," "
"Days with Humidex >= 30","0.0","0.0","0.0","0.0","0.1","1.0","2.3","1.9","0.2","0.0","0.0","0.0","5.4","A"
"Days with Humidex >= 35","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.4","A"
"Days with Humidex >= 40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Wind Chill"
"Extreme Wind Chill","-19.1","-23.7","-13.9","-6.7","-5.3","0.0","0.0","0.0","0.0","-9.1","-19.4","-25.1","",""
