"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*GOLD RIVER TOWNSITE","BC"," 49°46'44.002"" N","126°03'18.000"" W","119.0 m","1033232","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 0.2 mm","22.2","17.2","20.6","19.0","17.7","15.5","9.5","10.3","11.7","19.7","22.8","21.5","207.8","A"
">= 5 mm","15.1","11.0","12.0","9.5","6.5","5.9","3.2","3.9","5.4","12.7","16.5","14.3","116.0","A"
">= 10 mm","11.8","8.3","8.4","5.4","3.5","2.8","1.6","2.2","3.9","9.3","13.0","10.8","81.0","A"
">= 25 mm","6.4","4.2","3.0","2.2","1.2","0.35","0.40","0.50","1.1","5.4","7.2","5.7","37.4","A"
"Days with Snow Depth"
">= 1 cm","12.4","7.3","1.9","0.09","0.0","0.0","0.0","0.0","0.0","0.0","1.9","10.7","34.2","D"
">= 5 cm","10.1","6.3","0.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.80","8.1","26.1","D"
">= 10 cm","7.3","4.9","0.50","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.30","5.4","18.3","D"
">= 20 cm","4.3","2.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.05","2.6","9.2","D"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.9","0.5","0.0","0.0","0.0","0.0","1.4","C"
"Above 18 °C","0.0","0.0","0.0","0.0","1.6","11.2","34.0","35.0","6.2","0.0","0.0","0.0","87.9","C"
"Above 15 °C","0.0","0.0","0.0","0.6","10.8","39.5","96.9","100.4","34.1","1.2","0.0","0.0","283.5","C"
"Above 10 °C","0.0","0.0","1.4","16.2","79.4","156.3","244.8","250.9","146.6","25.7","0.8","0.0","921.9","C"
"Above 5 °C","7.0","9.3","41.6","106.6","220.9","305.9","399.7","405.9","295.7","137.5","28.5","4.4","1962.9","C"
"Above 0 °C","81.5","99.8","174.1","253.5","375.9","455.9","554.7","560.9","445.7","289.6","137.0","68.3","3496.7","C"
"Below 0 °C","18.4","7.1","0.8","0.0","0.0","0.0","0.0","0.0","0.0","0.2","6.6","17.4","50.4","C"
"Below 5 °C","98.9","57.7","23.3","3.1","0.0","0.0","0.0","0.0","0.0","3.2","48.1","108.5","342.8","C"
"Below 10 °C","246.9","189.6","138.1","62.7","13.5","0.4","0.0","0.0","1.0","46.3","170.3","259.1","1127.9","C"
"Below 15 °C","401.9","330.7","291.7","197.1","99.9","33.6","7.2","4.5","38.5","176.8","319.6","414.1","2315.6","C"
