"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*FORT NELSON A","BC"," 58°50'11.000"" N","122°35'50.000"" W","381.9 m","1192940","71945","YYE"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.0","0.0","0.03","0.07","0.03","0.0","0.0","0.0","0.0","0.04","0.0","0.0","0.17","A"
"Days with Precipitation"
">= 0.2 mm","10.5","8.7","8.9","6.4","10.3","12.9","14.6","12.7","10.7","10.3","11.1","9.8","126.9","A"
">= 5 mm","1.0","0.53","1.1","1.2","2.9","3.9","4.7","4.0","2.3","2.3","1.3","0.68","25.9","A"
">= 10 mm","0.10","0.07","0.20","0.31","1.6","1.9","2.4","2.2","1.0","0.93","0.28","0.11","11.0","A"
">= 25 mm","0.0","0.0","0.0","0.03","0.17","0.31","0.43","0.60","0.17","0.04","0.0","0.0","1.8","A"
"Days with Snow Depth"
">= 1 cm","31.0","28.3","31.0","20.1","1.2","0.0","0.0","0.03","0.66","9.8","28.2","31.0","181.2","A"
">= 5 cm","31.0","28.3","30.9","17.5","0.59","0.0","0.0","0.0","0.34","5.4","24.1","30.2","168.3","A"
">= 10 cm","30.8","28.3","30.6","13.6","0.28","0.0","0.0","0.0","0.21","3.6","20.5","29.6","157.4","A"
">= 20 cm","29.2","28.3","29.1","10.5","0.17","0.0","0.0","0.0","0.03","1.6","15.2","25.5","139.6","A"
"Wind"
"Speed (km/h)","4.3","5.3","7.4","8.4","8.9","8.4","7.8","7.1","6.9","6.2","4.8","4.1","6.6","A"
"Most Frequent Direction","N","N","N","N","N","NW","NW","NW","NW","S","S","S","N","A"
"Maximum Hourly Speed (km/h)","63.0","46.0","56.0","52.0","56.0","53.0","56.0","48.0","64.0","72.0","47.0","53.0","72.0",""
"Date (yyyy/dd)","1973/13","1991/07","1994/04","2008/13","1956/20","1965/05","1960/07","1964/12","1955/03","1955/21","1976/04","1958/25","1955/21"," "
"Direction of Maximum Hourly Speed","N","NW","NW","NW","W","W","W","W","W","W","NW","E","W",""
"Maximum Gust Speed (km/h)","81.0","83.0","89.0","89.0","93.0","83.0","121.0","93.0","97.0","105.0","80.0","84.0","121.0",""
"Date (yyyy/dd)","1987/20","2004/09","1965/10","1968/09","1998/04","2003/18","1975/12","1980/19","1964/04","1955/20","1964/16","1959/05","1975/12"," "
"Direction of Maximum Gust","W","NW","W","W","NW","NW","W","N","N","W","N","N","W",""
"Days with Winds >= 52 km/h","0.1","0.0","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.1","0.0","0.0","1.6","A"
"Days with Winds >= 63 km/h","0.0","0.0","0.0","0.0","0.1","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.3","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.1","A"
"Above 18 °C","0.0","0.0","0.0","0.0","1.2","7.6","22.8","13.1","0.2","0.0","0.0","0.0","44.9","A"
"Above 15 °C","0.0","0.0","0.0","0.0","6.5","38.2","77.8","47.2","2.6","0.1","0.0","0.0","172.3","A"
"Above 10 °C","0.0","0.0","0.0","2.1","48.3","154.7","220.3","162.9","37.2","2.4","0.0","0.0","627.9","A"
"Above 5 °C","0.0","0.1","0.7","29.9","159.9","302.4","375.1","311.8","138.3","19.7","0.0","0.0","1338.0","A"
"Above 0 °C","0.2","1.6","14.6","123.0","306.4","452.4","530.1","466.3","278.2","80.0","1.7","0.2","2254.5","A"
"Below 0 °C","621.6","433.1","247.4","30.7","1.7","0.0","0.0","0.0","0.8","56.9","382.9","582.9","2357.9","A"
"Below 5 °C","776.4","572.9","388.6","87.6","10.3","0.1","0.0","0.5","10.9","151.6","531.1","737.7","3267.5","A"
"Below 10 °C","931.4","714.0","542.8","209.8","53.7","2.3","0.2","6.6","59.8","289.3","681.1","892.7","4383.7","A"
"Below 15 °C","1086.4","855.2","697.8","357.7","166.8","35.8","12.7","45.9","175.2","442.0","831.1","1047.7","5754.3","A"
"Below 18 °C","1179.4","939.9","790.8","447.7","254.5","95.2","50.8","104.8","262.9","534.9","921.1","1140.7","6722.7","A"
"Bright Sunshine"
"Extreme Daily","7.5","9.9","11.5","15.3","17.4","18.3","17.0","15.4","13.4","9.7","8.4","7.0","",""
"Date (yyyy/dd)","1998/31","1996/26","1990/24","1984/29","1991/27","1987/13","1989/11","1994/03","1988/02","1989/05","1987/01","1995/07",""," "
"Humidex"
"Extreme Humidex","9.0","13.3","16.1","26.7","33.9","36.4","41.2","36.6","32.3","26.7","17.8","10.4","",""
"Date (yyyy/dd)","1993/30","1968/29","1966/29","1977/24","1956/19","1955/24","1955/16","1953/05","1981/07","1993/02","1969/02","1985/25",""," "
"Days with Humidex >= 30","0.0","0.0","0.0","0.0","0.1","0.6","3.4","2.6","0.1","0.0","0.0","0.0","6.8","A"
"Days with Humidex >= 35","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.4","0.0","0.0","0.0","0.0","0.7","A"
"Days with Humidex >= 40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Wind Chill"
"Extreme Wind Chill","-55.0","-55.6","-51.5","-37.6","-19.9","-3.3","0.0","-3.8","-19.7","-39.2","-51.6","-54.6","",""
"Date (yyyy/dd)","1954/21","1968/03","1955/03","1954/01","2002/03","1958/09","1953/01","1987/31","1974/30","1984/30","1985/26","1992/30",""," "
"Days with Wind Chill < -20","25.3","19.8","12.8","1.1","0.0","0.0","0.0","0.0","0.0","1.1","14.6","23.4","98.1","A"
"Days with Wind Chill < -30","12.5","8.0","3.6","0.1","0.0","0.0","0.0","0.0","0.0","0.1","3.7","9.7","37.6","A"
"Days with Wind Chill < -40","3.9","1.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","2.6","8.3","A"
"Humidity"
"Average Vapour Pressure (kPa)","0.1","0.2","0.3","0.4","0.7","1.0","1.3","1.2","0.8","0.5","0.2","0.1","0.6","A"
"Average Relative Humidity - 0600LST (%)","73.7","75.3","75.0","74.4","73.7","76.6","83.5","88.1","89.8","87.8","82.0","75.4","79.6","A"
