"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*STEWART A","BC"," 55°56'10.000"" N","129°59'06.000"" W","7.3 m","1067742","","ZST"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","1.9","0.85","0.23","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.96","1.3","5.3","A"
"Days with Precipitation"
">= 0.2 mm","20.0","15.1","18.2","16.6","16.1","15.4","16.4","17.4","20.2","23.3","21.4","20.5","220.5","A"
">= 5 mm","12.4","8.0","7.5","5.6","5.1","5.2","5.5","7.4","10.9","14.7","12.6","12.0","107.0","A"
">= 10 mm","7.8","4.6","3.7","2.5","1.7","1.9","2.0","4.4","7.2","9.5","8.2","7.2","60.8","A"
">= 25 mm","2.3","1.3","0.81","0.38","0.27","0.12","0.12","0.81","2.5","3.0","2.5","2.2","16.3","A"
"Days with Snow Depth"
">= 1 cm","31.0","28.2","28.7","11.1","0.04","0.0","0.0","0.0","0.0","1.1","15.4","29.1","144.5","D"
">= 5 cm","30.7","28.2","27.9","10.0","0.04","0.0","0.0","0.0","0.0","0.50","12.5","28.3","138.0","D"
">= 10 cm","30.6","28.2","27.2","8.8","0.0","0.0","0.0","0.0","0.0","0.19","10.6","27.9","133.4","D"
">= 20 cm","30.0","27.9","25.6","7.3","0.0","0.0","0.0","0.0","0.0","0.08","6.5","23.6","120.9","D"
"Wind"
"Maximum Hourly Speed (km/h)","43.0","48.0","57.0","48.0","46.0","46.0","39.0","35.0","33.0","48.0","46.0","50.0","57.0",""
"Date (yyyy/dd)","2006/22","1990/15","1999/12","1987/16","1993/29","1995/10","1998/05","1990/28","1996/26","1991/12","1992/10","1975/05","1999/12"," "
"Direction of Maximum Hourly Speed","S","NE","S","S","S","S","SW","S","S","SW","S","SW","S",""
"Maximum Gust Speed (km/h)","61.0","61.0","50.0","54.0","65.0","50.0","39.0","56.0","46.0","63.0","65.0","74.0","74.0",""
"Date (yyyy/dd)","1978/05","1975/03","1975/19","1981/16","1982/20","1983/08","1975/06","1978/04","1980/16","1979/18","1978/01","1975/05","1975/05"," "
"Direction of Maximum Gust","NE","N","S","SW","S","S","N","S","SW","N","S","SW","SW",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Above 18 °C","0.0","0.0","0.0","0.0","0.2","2.8","3.8","2.1","0.0","0.0","0.0","0.0","8.9","C"
"Above 15 °C","0.0","0.0","0.0","0.0","2.6","17.5","29.7","17.5","0.8","0.0","0.0","0.0","68.1","C"
"Above 10 °C","0.0","0.0","0.0","3.8","44.5","118.4","161.1","134.5","45.0","2.3","0.0","0.0","509.6","C"
"Above 5 °C","0.0","0.0","2.2","48.5","176.9","267.9","316.1","289.3","182.2","57.3","1.8","0.2","1342.5","C"
"Above 0 °C","16.4","26.8","75.0","181.7","331.7","417.9","471.1","444.3","332.1","194.9","51.0","19.1","2562.0","C"
"Below 0 °C","108.3","58.2","17.3","0.1","0.0","0.0","0.0","0.0","0.0","1.3","35.9","81.8","302.9","C"
"Below 5 °C","246.9","172.6","99.5","16.9","0.3","0.0","0.0","0.0","0.2","18.6","136.8","217.9","909.5","C"
"Below 10 °C","401.9","313.7","252.3","122.1","22.9","0.5","0.0","0.1","12.9","118.7","284.9","372.7","1902.7","C"
