"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*GLACIER NP ROGERS PASS","BC"," 51°18'06.060"" N","117°31'00.000"" W","1330.0 m","1173191","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Above 5 °C","0.0","0.0","0.1","2.5","49.9","158.1","249.9","241.1","98.5","10.0","0.0","0.0","810.0","C"
"Above 0 °C","0.3","0.9","14.1","72.1","179.2","307.3","404.8","395.9","237.6","75.5","4.4","0.1","1692.2","C"
"Below 0 °C","260.1","186.8","80.1","10.4","0.4","0.0","0.0","0.0","0.1","20.5","137.4","283.2","978.9","C"
"Below 5 °C","414.8","327.0","221.1","90.8","26.0","0.8","0.1","0.2","11.0","110.0","283.0","438.2","1922.8","C"
"Below 10 °C","569.8","468.1","376.0","238.3","137.0","32.3","8.4","10.9","79.4","255.1","433.0","593.2","3201.4","C"
"Below 15 °C","724.8","609.2","531.0","388.3","286.2","145.4","76.6","82.4","212.7","410.0","583.0","748.2","4797.6","C"
"Below 18 °C","817.8","693.9","624.0","478.3","379.2","232.8","155.2","163.1","302.5","503.0","673.0","841.2","5863.7","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","June      09","C"
"Average Date of First Fall Frost","September 04","C"
"Average Length of Frost-Free Period","86 Days","C"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Jul 04","Jun 19","Jun 17","Jun 13","Jun 09","Jun 05","May 27"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Aug 21","Aug 27","Sep 01","Sep 06","Sep 10","Sep 12","Sep 17"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","59","73","78","81","90","95","105"
