"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*CASTLEGAR A","BC"," 49°17'47.000"" N","117°37'57.000"" W","495.6 m","1141455","","YCG"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.12","0.24","A"
"Days with Precipitation"
">= 0.2 mm","16.5","13.4","14.5","14.4","15.5","14.4","9.7","7.7","8.2","12.1","17.4","16.6","160.3","A"
">= 5 mm","5.9","3.7","4.7","4.1","4.8","4.9","3.2","2.1","3.0","4.0","7.2","6.4","53.8","A"
">= 10 mm","2.1","1.3","1.7","1.8","2.0","2.2","1.7","0.77","1.4","1.3","3.2","2.8","22.2","A"
">= 25 mm","0.07","0.0","0.12","0.12","0.27","0.23","0.15","0.08","0.08","0.04","0.23","0.31","1.7","A"
"Days with Snow Depth"
">= 1 cm","27.5","21.0","7.3","0.27","0.0","0.0","0.0","0.0","0.0","0.20","9.3","24.7","90.2","C"
">= 5 cm","26.8","19.2","5.4","0.0","0.0","0.0","0.0","0.0","0.0","0.08","6.0","21.3","78.8","C"
">= 10 cm","26.1","17.0","3.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","17.9","68.6","C"
">= 20 cm","18.2","10.3","1.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.6","8.5","40.3","C"
"Wind"
"Maximum Hourly Speed (km/h)","56.0","58.0","50.0","56.0","56.0","64.0","55.0","51.0","64.0","72.0","53.0","77.0","77.0",""
"Date (yyyy/dd)","1990/09","1957/24","1977/27","1978/11","1988/16","1966/10","1956/13","1974/31","1956/01","1966/20","1971/04","1956/24","1956/24"," "
"Direction of Maximum Hourly Speed","W","S","NW","NW","E","W","SW","NE","NW","NW","NW","S","S",""
"Maximum Gust Speed (km/h)","72.0","74.0","83.0","97.0","77.0","89.0","80.0","97.0","89.0","97.0","100.0","77.0","100.0",""
"Date (yyyy/dd)","1969/21","1979/27","1977/27","1968/15","1966/06","1967/24","1968/19","1967/06","1967/22","1966/20","1978/04","1967/11","1978/04"," "
"Direction of Maximum Gust","N","W","W","NW","S","N","NW","W","NW","NW","NW","W","NW",""
