"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*WILLIAMS LAKE A","BC"," 52°10'59.000"" N","122°03'15.000"" W","939.7 m","1098940","71104","YWL"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.07","0.10","A"
"Days with Precipitation"
">= 0.2 mm","12.0","8.7","8.7","9.1","12.6","14.8","13.1","10.8","10.5","11.9","12.5","12.8","137.4","A"
">= 5 mm","2.1","1.0","1.1","1.4","3.0","4.2","3.4","3.1","3.1","2.6","2.8","2.1","29.9","A"
">= 10 mm","0.53","0.10","0.13","0.27","0.77","1.4","1.4","1.1","1.1","0.77","0.93","0.43","9.0","A"
">= 25 mm","0.03","0.0","0.0","0.0","0.0","0.07","0.10","0.10","0.0","0.10","0.07","0.04","0.51","A"
"Days with Snow Depth"
">= 1 cm","30.4","26.5","18.5","3.7","0.27","0.0","0.0","0.0","0.03","2.0","15.1","29.2","125.6","A"
">= 5 cm","28.2","24.1","14.6","2.0","0.03","0.0","0.0","0.0","0.0","0.72","9.9","28.1","107.7","A"
">= 10 cm","26.7","20.7","12.6","1.4","0.0","0.0","0.0","0.0","0.0","0.28","7.2","24.1","92.9","A"
">= 20 cm","20.9","18.8","9.5","0.60","0.0","0.0","0.0","0.0","0.0","0.0","1.8","15.7","67.2","A"
"Wind"
"Speed (km/h)","10.6","10.6","10.8","10.5","9.3","8.1","7.0","6.7","7.6","10.4","11.5","11.1","9.5","A"
"Most Frequent Direction","SE","SE","SE","SE","SE","SE","N","SE","SE","SE","SE","SE","SE","A"
"Maximum Hourly Speed (km/h)","60.0","72.0","72.0","61.0","56.0","56.0","56.0","64.0","53.0","56.0","64.0","68.0","72.0",""
"Date (yyyy/dd)","1968/13","1963/05","1963/20","1977/25","1963/05","1968/26","1979/11","1971/17","1972/20","1982/22","1962/23","1967/06","1963/05"," "
"Direction of Maximum Hourly Speed","S","SE","SE","SE","SE","NW","SE","S","SE","SE","S","SE","SE",""
"Maximum Gust Speed (km/h)","90.0","93.0","92.0","83.0","83.0","107.0","97.0","83.0","84.0","100.0","93.0","102.0","107.0",""
"Date (yyyy/dd)","1973/20","1999/05","1973/18","1984/14","1988/12","1985/29","1965/07","1985/14","1972/20","1976/31","1975/12","1987/01","1985/29"," "
"Direction of Maximum Gust","SE","SE","SE","SE","SE","NE","W","W","SE","W","S","SE","NE",""
"Days with Winds >= 52 km/h","0.3","0.3","0.2","0.2","0.1","0.0","0.1","0.0","0.0","0.2","0.4","0.6","2.4","A"
"Days with Winds >= 63 km/h","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.1","A"
"Above 18 °C","0.0","0.0","0.0","0.0","1.2","4.3","17.2","12.3","1.8","0.1","0.0","0.0","36.9","A"
"Above 15 °C","0.0","0.0","0.0","0.0","5.9","19.9","56.2","47.1","8.5","0.4","0.0","0.0","138.0","A"
"Above 10 °C","0.0","0.0","0.1","5.0","44.4","104.6","185.2","164.5","58.8","8.5","0.0","0.0","570.9","A"
"Above 5 °C","0.5","0.9","7.3","42.3","148.8","248.2","339.6","317.8","171.9","48.5","4.0","0.1","1329.8","A"
"Above 0 °C","12.7","21.6","64.5","151.3","298.5","398.2","494.6","472.8","318.5","155.6","33.8","7.6","2429.4","A"
"Below 0 °C","220.6","140.0","55.0","5.2","0.1","0.0","0.0","0.0","0.0","13.5","102.3","237.2","773.9","A"
"Below 5 °C","363.4","260.6","152.9","46.3","5.5","0.0","0.0","0.0","3.4","61.4","222.5","384.7","1500.5","A"
"Below 10 °C","517.9","400.9","300.6","158.9","56.0","6.4","0.6","1.7","40.3","176.4","368.5","539.6","2567.8","A"
"Below 15 °C","672.9","542.1","455.5","303.9","172.6","71.7","26.6","39.4","140.0","323.4","518.5","694.6","3961.1","A"
"Below 18 °C","765.9","626.8","548.5","393.9","260.8","146.2","80.6","97.6","223.3","416.0","608.5","787.6","4955.7","A"
"Bright Sunshine"
"Total Hours","58.6","97.4","154.6","198.0","248.8","242.4","283.5","273.4","199.2","123.8","60.3","45.8","1985.8","C"
"Days with measurable","18.9","22.4","28.0","28.6","30.1","29.5","30.0","30.2","28.5","26.1","19.2","16.2","307.5","C"
"% of possible daylight hours","22.8","34.9","42.1","47.5","51.2","48.5","56.3","60.1","52.3","37.4","22.8","18.9","41.2","C"
"Extreme Daily","8.5","10.1","11.6","14.4","15.7","16.3","15.9","15.3","13.4","10.5","9.1","7.7","",""
"Date (yyyy/dd)","2000/30","1987/24","1970/30","1968/26","1968/16","1982/16","1967/02","1974/03","1997/02","1970/01","1977/14","1978/29",""," "
"Humidex"
"Extreme Humidex","12.2","19.6","18.2","28.0","33.9","32.2","36.2","36.4","35.6","26.8","16.1","10.6","",""
"Date (yyyy/dd)","1968/20","2009/27","1994/29","1977/25","1983/29","1969/18","1975/08","1981/09","1988/04","1987/01","1975/04","1980/15",""," "
"Days with Humidex >= 30","0.0","0.0","0.0","0.0","0.2","0.3","1.8","1.5","0.2","0.0","0.0","0.0","4.1","A"
"Days with Humidex >= 35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","A"
"Days with Humidex >= 40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Wind Chill"
"Extreme Wind Chill","-46.8","-45.3","-39.9","-21.8","-12.0","-4.1","0.0","-2.8","-11.0","-35.2","-49.6","-52.2","",""
"Date (yyyy/dd)","1979/01","1989/01","2003/08","1966/11","2002/05","1973/02","1961/01","1992/24","1965/15","1984/31","1985/26","1964/15",""," "
"Days with Wind Chill < -20","7.1","4.8","1.8","0.1","0.0","0.0","0.0","0.0","0.0","0.3","2.3","6.3","22.7","A"
"Days with Wind Chill < -30","2.7","1.1","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.7","2.3","7.3","A"
"Days with Wind Chill < -40","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.5","1.0","A"
"Humidity"
"Average Vapour Pressure (kPa)","0.4","0.4","0.4","0.5","0.7","0.9","1.0","1.0","0.8","0.6","0.5","0.3","0.6","A"
"Average Relative Humidity - 0600LST (%)","83.4","80.9","77.0","73.7","72.4","73.6","74.5","78.8","83.0","82.4","84.1","83.4","78.9","A"
"Average Relative Humidity - 1500LST (%)","75.1","62.1","47.2","41.0","40.8","44.0","41.6","41.1","45.6","56.7","72.8","77.4","53.8","A"
"Pressure"
"Average Station Pressure (kPa)","90.4","90.5","90.3","90.4","90.5","90.6","90.8","90.8","90.8","90.6","90.4","90.5","90.6","A"
"Average Sea Level Pressure (kPa)","101.8","101.7","101.5","101.5","101.5","101.5","101.6","101.6","101.7","101.7","101.5","101.8","101.6","A"
"Visibility (hours with)"
"< 1 km","20.4","12.0","4.5","3.6","2.3","3.3","3.8","3.9","7.9","18.4","26.0","17.5","123.5","C"
"1 to 9 km","97.5","71.6","33.6","27.4","15.4","15.1","15.8","14.5","20.9","48.3","87.7","107.9","555.7","C"
"> 9 km","626.2","593.2","705.9","689.0","726.4","701.7","724.4","725.5","691.2","677.3","606.3","618.6","8085.6","C"
"Cloud Amount (hours with)"
"0 to 2 tenths","127.9","145.2","188.9","156.5","141.6","122.2","183.2","219.8","219.5","178.6","112.8","124.3","1920.5","C"
"3 to 7 tenths","128.4","136.4","174.2","188.9","208.7","222.8","252.3","228.6","177.1","153.0","130.3","132.9","2133.7","C"
"8 to 10 tenths","487.7","395.2","380.9","374.5","393.7","375.0","308.5","295.6","323.4","412.4","476.9","486.8","4710.7","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","May       23","A"
"Average Date of First Fall Frost","September 13","A"
"Average Length of Frost-Free Period","112 Days","A"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Jun 18","Jun 08","Jun 02","May 26","May 23","May 20","May 11"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Aug 29","Sep 05","Sep 07","Sep 11","Sep 15","Sep 17","Sep 20"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","81","90","95","107","114","117","130"
