"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*SPARWOOD","BC"," 49°44'43.000"" N","114°52'58.000"" W","1137.7 m","1157630","","WSW"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.0","0.0","0.04","0.08","0.08","0.0","0.0","0.0","0.08","0.0","0.16","0.16","0.60","A"
"Days with Precipitation"
">= 0.2 mm","14.7","10.3","12.2","11.9","14.7","16.3","11.4","10.4","10.3","11.5","15.0","14.4","153.0","A"
">= 5 mm","3.4","2.8","2.9","2.8","3.4","4.3","3.4","2.5","2.9","3.2","4.4","3.4","39.2","A"
">= 10 mm","1.3","0.96","1.1","0.88","1.5","1.7","1.2","0.76","1.3","1.1","2.1","1.3","15.1","A"
">= 25 mm","0.07","0.16","0.04","0.08","0.32","0.23","0.04","0.0","0.15","0.15","0.32","0.12","1.7","A"
"Wind"
"Maximum Hourly Speed (km/h)","67.0","83.0","59.0","52.0","48.0","44.0","37.0","44.0","44.0","63.0","59.0","74.0","83.0",""
"Date (yyyy/dd)","1989/31","1994/23","1991/04","1991/04","2009/18","1992/23","1981/14","1984/26","1996/30","1984/30","1982/20","1992/22","1994/23"," "
"Direction of Maximum Hourly Speed","SE","SE","SE","S","SE","S","SW","S","SE","SE","SE","SE","SE",""
"Maximum Gust Speed (km/h)","","","","","","","","0.0","","","54.0","54.0","",""
"Date (yyyy/dd)","","","","","","","","1995/10","","","1997/28","1997/26",""," "
"Direction of Maximum Gust","CALM","CALM","CALM","CALM","CALM","CALM","CALM","N","CALM","CALM","S","S","CALM",""
"Days with Winds >= 52 km/h","","","","","","","","","","","2.0","","",""
"Days with Winds >= 63 km/h","","","","","","","","","","","0.0","","",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.1","A"
"Above 18 °C","0.0","0.0","0.0","0.0","0.2","1.8","13.7","9.9","0.4","0.0","0.0","0.0","25.9","A"
"Above 15 °C","0.0","0.0","0.0","0.0","2.5","14.9","52.9","47.7","5.6","0.1","0.0","0.0","123.7","A"
"Above 10 °C","0.0","0.0","0.1","2.8","33.7","91.4","180.7","172.4","55.5","5.4","0.1","0.0","542.1","A"
"Above 5 °C","0.6","0.6","4.6","39.4","134.0","231.5","334.5","325.4","170.4","46.6","5.6","0.0","1293.1","A"
"Above 0 °C","14.7","19.1","58.4","151.0","283.0","381.1","489.5","480.2","316.0","161.2","40.0","8.1","2402.2","A"
"Below 0 °C","215.4","146.9","53.5","6.4","0.2","0.0","0.0","0.0","0.0","11.8","99.3","235.1","768.5","A"
"Below 5 °C","356.3","269.4","154.6","44.8","6.2","0.4","0.0","0.2","4.3","52.3","214.9","382.0","1485.4","A"
"Below 10 °C","510.7","409.9","305.1","158.2","60.9","10.3","1.2","2.3","39.5","166.0","359.4","537.0","2560.5","A"
"Below 15 °C","665.7","551.1","460.0","305.4","184.7","83.8","28.5","32.6","139.6","315.7","509.3","692.0","3968.3","A"
"Below 18 °C","758.7","635.7","553.0","395.4","275.4","160.7","82.2","87.7","224.4","408.6","599.3","785.0","4966.2","A"
"Humidex"
"Extreme Humidex","11.4","13.0","20.2","25.2","32.2","35.3","36.9","35.6","32.6","26.5","16.5","10.4","",""
"Date (yyyy/dd)","2005/24","1995/24","2004/30","1987/27","1986/28","2008/30","2002/13","2006/22","1988/02","1992/02","1981/02","1980/16",""," "
"Wind Chill"
"Extreme Wind Chill","-45.6","-47.5","-37.4","-23.0","-9.0","-4.8","0.0","-3.8","-10.5","-27.1","-41.4","-48.6","",""
"Date (yyyy/dd)","1998/12","1989/03","2002/08","2002/02","2002/08","2000/01","1980/01","2000/28","2000/23","1984/31","1985/27","1990/29",""," "
"Humidity"
"Average Relative Humidity - 0600LST (%)","","","","84.2","85.5","87.4","87.8","89.0","88.5","86.0","","","",""
"Average Relative Humidity - 1500LST (%)","72.7","62.7","54.8","46.0","44.5","46.9","39.4","38.3","44.3","52.2","69.8","74.0","53.8","A"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","June      04","C"
"Average Date of First Fall Frost","September 02","C"
"Average Length of Frost-Free Period","89 Days","C"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Jun 23","Jun 16","Jun 12","Jun 04","May 31","May 23","May 15"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Aug 13","Sep 01","Sep 03","Sep 06","Sep 07","Sep 09","Sep 14"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","61","79","80","90","100","105","109"
