"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*GOLDEN A","BC"," 51°17'57.000"" N","116°58'56.000"" W","784.9 m","1173210","71173","YGE"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.0","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.12","0.08","0.24","A"
"Days with Precipitation"
">= 0.2 mm","14.6","9.1","9.8","10.6","12.5","15.4","13.7","13.2","10.6","12.1","13.9","13.5","148.8","A"
">= 5 mm","3.0","1.3","1.7","1.3","2.3","3.2","3.2","3.1","2.5","2.2","3.4","2.7","29.8","A"
">= 10 mm","1.0","0.48","0.23","0.38","0.58","0.84","1.1","1.0","0.80","0.58","1.2","0.96","9.2","A"
">= 25 mm","0.0","0.0","0.0","0.04","0.0","0.08","0.12","0.12","0.08","0.0","0.08","0.04","0.56","A"
"Wind"
"Maximum Hourly Speed (km/h)","41.0","46.0","46.0","37.0","59.0","37.0","56.0","46.0","46.0","41.0","43.0","52.0","59.0",""
"Date (yyyy/dd)","1999/29","1996/21","2010/11","1996/23","1996/29","1996/06","1999/24","2010/12","1999/10","1992/31","2007/12","1995/02","1996/29"," "
"Direction of Maximum Hourly Speed","SE","SE","S","S","SE","SE","NW","N","NW","S","S","W","SE",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","0.0","0.0","0.0","0.0","0.4","C"
"Above 18 °C","0.0","0.0","0.0","0.0","1.2","6.8","28.8","21.6","0.6","0.0","0.0","0.0","58.9","C"
"Above 15 °C","0.0","0.0","0.0","0.0","8.8","33.4","83.3","69.4","6.6","0.0","0.0","0.0","201.5","C"
"Above 10 °C","0.0","0.0","0.0","5.5","65.2","149.3","227.7","206.7","66.2","2.6","0.0","0.0","723.2","C"
"Above 5 °C","0.0","0.0","3.1","61.4","194.5","298.1","382.4","361.4","194.0","42.1","1.0","0.0","1538.0","C"
"Above 0 °C","5.0","11.6","63.1","193.9","348.8","448.1","537.4","516.4","342.2","159.6","28.2","3.0","2657.4","C"
"Below 0 °C","252.9","152.1","40.6","0.4","0.0","0.0","0.0","0.0","0.0","6.2","88.5","237.7","778.4","C"
"Below 5 °C","403.0","281.6","135.6","17.9","0.7","0.0","0.0","0.0","1.8","43.7","211.3","389.7","1485.3","C"
"Below 10 °C","558.0","422.8","287.5","112.0","26.4","1.2","0.3","0.3","24.0","159.2","360.3","544.7","2496.5","C"
"Below 15 °C","713.0","563.9","442.5","256.5","124.9","35.4","10.9","17.9","114.4","311.6","510.3","699.7","3801.0","C"
"Below 18 °C","806.0","648.6","535.5","346.5","210.4","98.7","49.3","63.2","198.4","404.6","600.3","792.7","4754.1","C"
"Bright Sunshine"
"Extreme Daily","6.7","8.0","10.5","12.8","14.1","14.7","14.9","13.1","11.6","8.9","6.6","5.7","",""
"Date (yyyy/dd)","1980/21","1995/27","1994/28","1979/29","1975/31","1973/20","1974/13","1978/03","1974/01","1993/01","1978/10","1972/02",""," "
"Humidex"
"Extreme Humidex","6.7","8.4","19.6","25.5","34.2","35.9","38.5","38.4","32.0","22.4","11.2","5.4","",""
"Date (yyyy/dd)","1996/12","1992/25","2004/30","2010/21","1993/12","2008/30","1998/27","1996/16","1998/07","2008/01","2001/15","1994/20",""," "
"Wind Chill"
"Extreme Wind Chill","-42.3","-31.2","-28.1","-14.3","-5.5","0.0","0.0","0.0","-4.5","-15.0","-29.9","-38.0","",""
"Date (yyyy/dd)","2004/06","1994/08","2009/10","2008/20","1999/09","1992/01","1992/01","1992/01","1996/24","1991/28","1993/26","2008/15",""," "
"Humidity"
"Average Relative Humidity - 0600LST (%)","","","","86.6","86.6","87.6","87.6","90.1","93.8","93.5","","","",""
"Average Relative Humidity - 1500LST (%)","81.2","70.7","53.6","38.8","38.6","42.4","42.0","44.2","50.0","60.0","80.4","82.2","57.0","D"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","May       15","C"
"Average Date of First Fall Frost","September 22","C"
"Average Length of Frost-Free Period","129 Days","C"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Jun 24","Jun 08","Jun 02","May 26","May 20","May 18","May 08"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Aug 27","Sep 06","Sep 08","Sep 13","Sep 22","Sep 24","Oct 04"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","67","90","100","112","120","124","140"
